project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2004290,2049772,NCSU 60A,None,None,None,
2004290,2049880,NRC 205,Reconyx,RapidFire,None,
2004290,2050054,NRC179,Reconyx,RC55 RAPIDFIRE,None,
2004290,2049864,Sch16_12,None,None,None,
2004290,2049952,C03,Reconyx,HP2X Professional,HLPXHN12087876,2021
2004290,2049781,FCWB 1011,BUSHNELL,None,None,
2004290,2049886,BR002,BUSHNELL,None,None,
2004290,2050021,NCSU19,None,None,None,
2004290,2049957,NCSU50,None,None,None,
2004290,2049814,NRC 217,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049917,H500HJ08258893,RECONYX,HC500 HYPERFIRE,None,
2004290,2049771,NCSU 12,None,None,None,
2004290,2077885,SWC_CAM15,,,,
2004290,2049981,NCSU 35,None,None,None,
2004290,2104457,Plot_6_cam,,,,
2004290,2077879,SWC_CAMT3,,,,
2004290,2049787,H500HJ08258892,RECONYX,HC500 HYPERFIRE,None,
2004290,2104455,Plot_4_cam,,,,
2004290,2081243,Cam_12C,,,,
2004290,2050063,PR1,None,None,None,
2004290,2049784,NCSU46,None,None,None,
2004290,2049879,NRC 201,,,None,
2004290,2080620,Cam 6A,,,,
2004290,2080636,Cam 11B,,,,
2004290,2049825,NCSU FWCB 1005,BUSHNELL,None,None,
2004290,2050051,NRC 195,Reconyx,RC55 RAPIDFIRE,None,
2004290,2049979,54,G4,CUDDEBACK,None,
2004290,2080611,Cam 3A,,,,
2004290,2049769,NRC246,RECONYX,HC500 HYPERFIRE,None,
2004290,2080625,Cam 7C,,,,
2004290,2049676,201,None,None,None,
2004290,2045691,NRC249,RECONYX,HC500 HYPERFIRE,None,
2004290,2049656,34,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004290,2050019,NCSU17,None,None,None,
2004290,2049782,FWCB 1022,BUSHNELL,None,None,
2004290,2049835,FWCB 2021,BUSHNELL,None,None,
2004290,2050066,NCSU71,None,None,None,
2004290,2049795,NRC 226,RECONYX,PC800 PROFESSIONAL,None,
2004290,2050022,FWCB3001,BUSHNELL,None,None,
2004290,2049996,H500HH08217632,RECONYX,HC500 HYPERFIRE,None,
2004290,2049942,NRC11,RECONYX,PC800 PROFESSIONAL,None,
2004290,2050008,NCSU6,None,None,None,
2004290,2049633,18,,,,
2004290,2049966,NCSU FWCB 1004,BUSHNELL,None,None,
2004290,2049828,Um 20_25,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049827,NRC 275,RECONYX,HC500 HYPERFIRE,None,
2004290,2049790,FWCB3001A,BUSHNELL,None,None,
2004290,2104458,Plot_7_cam,,,,
2004290,2049946,NCSU24,None,None,None,
2004290,2049685,ncsu30,None,None,None,
2004290,2049842,NCSU36,None,None,None,
2004290,2049801,20,,,,
2004290,2049761,NRC 36,Reconyx,RC60 COVERT,None,
2004290,2080639,Cam 12B,,,,
2004290,2080628,Cam 8C,,,,
2004290,2049900,NRC176,Reconyx,RC55 RAPIDFIRE,None,
2004290,2049916,P800HH02203210,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049634,15,,,,
2004290,2049891,1612,RECONYX,HC500 HYPERFIRE,None,
2004290,2049862,NCSU 71,None,None,None,
2004290,2104469,Plot_17_cam,,,,
2004290,2045704,NRC224,RECONYX,PC800 PROFESSIONAL,None,
2004290,2080612,Cam 3B,,,,
2004290,2049933,FWCB 1013,BUSHNELL,None,None,
2004290,2049907,WRC 17,RECONYX,PC900 PROFESSIONAL,None,
2004290,2049831,NCSU38,None,None,None,
2004290,2050013,NCSU68,None,None,None,
2004290,2049874,DM,None,None,None,
2004290,2050068,NRC 164,Reconyx,RC55 RAPIDFIRE,None,
2004290,2050057,NCSU1004,BUSHNELL,None,None,
2004290,2077896,SWC_CAM8,,,,
2004290,2049684,61,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004290,2049894,NCSU 19,None,None,None,
2004290,2049958,NCSU 64,None,None,None,
2004290,2049755,NRC 173,Reconyx,RapidFire,None,
2004290,2050040,NRC 14,None,None,None,
2004290,2049658,13,C1000,CUDDEBACK,None,
2004290,2050014,FWCB3009,BUSHNELL,None,None,
2004290,2049961,NCSU 7,None,None,None,
2004290,2080650,Cam 16A,,,,
2004290,2104467,Plot_15_cam,,,,
2004290,2050034,NCSU 51,None,None,None,
2004290,2049793,NRC 167,Reconyx,RC55 RAPIDFIRE,None,
